Class,Your Text Output,Face with Explainability,timestamp
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9999496936798096}, {""label"": ""real"", ""confidence"": 5.030632019042969e-05}]}",fake,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\1fb1636e4ac4ecbb0f18\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\d22a57a7b7227760e4b2e486cc3e5124fa2bba7f8e4dfa5b2be0167cbaaee9a9\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:42.850199
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9992852248251438}, {""label"": ""fake"", ""confidence"": 0.0007147751748561859}]}",real,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\0af30fd2b27700f72e2d\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\004d52d5b1691d3f9cb3ba597c2bf4cb0a526d6f41aa901a67fcd80041f43d1c\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:43.723292
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9999599456787109}, {""label"": ""real"", ""confidence"": 4.00543212890625e-05}]}",fake,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\5f74741c190db5104225\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\40fa4f1cacf6c99d6f868400149dec17f67289fcc9d5090ffbf706348dba936c\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:44.570454
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.5079672038555145}, {""label"": ""fake"", ""confidence"": 0.4920327961444855}]}",real,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\4de878c9f72396c2cf3c\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\e3187722bc761bf1e2ca0bd1931593279c3778883abc88875b703f3e7edf9101\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:45.502970
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9999997615814209}, {""label"": ""real"", ""confidence"": 2.384185791015625e-07}]}",fake,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\29553cc35de39a83bca8\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\461aa13d04766cb974aca29fb4a45ee905c1f075d7c86712b9771affddaf94fa\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:46.321439
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999999977415486}, {""label"": ""fake"", ""confidence"": 2.2584514258738864e-09}]}",real,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\97b05020c8d2172c417f\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\ce439621dfe6569d17eab5a6efd226f87ac95135dfbdad08e3f84577ccea0254\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:46.824393
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9878975450992584}, {""label"": ""fake"", ""confidence"": 0.012102454900741577}]}",real,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\ece678989f5dfe47408e\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\de883bb3af303e04d0ac58cdff4860ea0191345a5255a48813a6264134f7362c\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:47.661196
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.8550799041986465}, {""label"": ""fake"", ""confidence"": 0.14492009580135345}]}",real,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\2e9ceeb3c17af65ec1b1\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\75ad4b0c50b906f1253fef963afb2d40e95a1aa87b6b0360efcd754642b1c6c5\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:48.186833
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9989245533943176}, {""label"": ""real"", ""confidence"": 0.001075446605682373}]}",fake,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\be48eeb12854410ebb09\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\b946fb6d0bd6261bcd577588ad3a918be1cbdb46979aafd8626826c31f60ef23\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:49.158781
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9999958276748657}, {""label"": ""real"", ""confidence"": 4.172325134277344e-06}]}",fake,"{""path"": "".gradio\\cached_examples\\17\\Face with Explainability\\ced3f0c37ac0f225afad\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Devash Gupta\\AppData\\Local\\Temp\\gradio\\f1303fd5de0457f4951d736707bc516212af96b3d3b0040bb0c34c1210643475\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2025-11-03 13:36:49.959425
